antecedents;consequents;antecedent support;consequent support;support;confidence;lift;representativity;leverage;conviction;zhangs_metric;jaccard;certainty;kulczynski;complexidade
frozenset({'Alta_Renda', 'Internet'});frozenset({'TV', 'Celular_Net', 'Urbano', 'Alta_Escol'});0.2469385328736179;0.3689612808623628;0.15566916339713865;0.630396405071417;1.708570621822456;1.0;0.06455840601381592;1.707339235322022;0.5507059659922172;0.33824162576422967;0.4142933171617827;0.5261541638676097;6
frozenset({'Alta_Renda', 'Urbano', 'Internet'});frozenset({'TV', 'Celular_Net', 'Alta_Escol'});0.21523401894344707;0.42491974794911425;0.15566916339713865;0.7232553857484809;1.702098782744956;1.0;0.06421197831761424;2.078017863531843;0.5256217047754439;0.3213087934560327;0.5187721830743174;0.5448024736987135;6
frozenset({'Celular_Net', 'Alta_Renda'});frozenset({'TV', 'Alta_Escol', 'Urbano', 'Internet'});0.2341378353743114;0.3960686402726588;0.15566916339713865;0.6648612051455653;1.6786514698257005;1.0;0.0629345093040515;1.8020335723581475;0.5278805300058228;0.3280440955403374;0.4450713819435691;0.5289485133192305;6
frozenset({'TV', 'Alta_Renda', 'Internet'});frozenset({'Celular_Net', 'Urbano', 'Alta_Escol'});0.23429635794396228;0.3959497483454207;0.15566916339713865;0.6644113667117726;1.6780194191010067;1.0;0.06289957943097818;1.7999723224707018;0.5276967717976419;0.32801670146137785;0.444435901865776;0.5287826025831909;6
frozenset({'Celular_Net', 'Alta_Renda', 'Urbano'});frozenset({'TV', 'Alta_Escol', 'Internet'});0.20421670035271272;0.45690167637617407;0.15566916339713865;0.7622744032602367;1.668355452985129;1.0;0.062362210661973394;2.2845597237825093;0.503412609744322;0.3079818096283518;0.56227889794699;0.5514902244421576;6
frozenset({'TV', 'Alta_Renda', 'Urbano', 'Internet'});frozenset({'Celular_Net', 'Alta_Escol'});0.20485079063131614;0.45713946023065033;0.15566916339713865;0.7599148771522537;1.6623261460930054;1.0;0.062023783540116825;2.261116946065888;0.5010799580852473;0.3074514715090795;0.5577406990205006;0.5502218512332573;6
frozenset({'Alta_Renda', 'Internet'});frozenset({'Celular_Net', 'Urbano', 'Alta_Escol'});0.2469385328736179;0.3959497483454207;0.1621685887528237;0.6567164179104478;1.6585852640510788;1.0;0.0643933388047273;1.7596246461242095;0.5272830132713302;0.3373454245671888;0.43169698026074843;0.5331425148305117;5
frozenset({'Alta_Renda', 'Urbano', 'Internet'});frozenset({'Celular_Net', 'Alta_Escol'});0.21523401894344707;0.45713946023065033;0.1621685887528237;0.7534524028723992;1.6481893785591026;1.0;0.06377662550974274;2.2018488360622395;0.5011348789970859;0.31784993009165763;0.5458362156285042;0.5540994133997887;5
frozenset({'Alta_Renda', 'Internet'});frozenset({'TV', 'Celular_Net', 'Alta_Escol'});0.2469385328736179;0.42491974794911425;0.1710854832956842;0.6928261916225325;1.6304871566136319;1.0;0.06615642414810244;1.8721656481343096;0.5134857974424842;0.34164292497625826;0.46585923046043426;0.5477281489729897;5
frozenset({'TV', 'Celular_Net', 'Alta_Renda'});frozenset({'Alta_Escol', 'Urbano', 'Internet'});0.22335830063805334;0.42923948797210004;0.15566916339713865;0.6969481902058197;1.6236814406299924;1.0;0.059794960796942256;1.88337602212485;0.4945853967631064;0.3132626206236542;0.469038583770549;0.5298054587812405;6
